Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.54,0.04,2.667%,32153948.00,China,,21762,Consumer Non-Durables,Apparel
DXR,Daxor Corporation Common Stock,$9.60,0.53,5.843%,38725219.00,United States,,7382,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$9.13,0.07,0.773%,553152134.00,United States,2003,354934,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$14.80,0.13,0.886%,199791978.00,United States,1986,38979,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.19,0.00,0.00%,,United States,,423,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.90,0.06,0.434%,1000149258.00,United States,2002,118706,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.7852,0.1352,2.908%,128838548.00,United States,,44949,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$27.65,-0.91,-3.186%,355010157.00,Israel,,387,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$11.44,0.14,1.239%,98812085.00,United States,2011,4343,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$2.93,0.08,2.807%,211753816.00,United States,,377094,Capital Goods,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$2.93,-0.10,-3.30%,250943214.00,Canada,,283032,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$1.18,0.00,0.00%,13490617.00,United States,,119697,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.63,-0.15,-1.174%,228834053.00,United States,2002,17153,Finance,Finance/Investors Services
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.00,-0.07,-1.72%,134029808.00,United States,,91222,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$6.19,-0.14,-2.212%,1859778877.00,Canada,,2005444,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$13.15,0.01,0.076%,369088927.00,United States,2003,59343,Finance,Finance/Investors Services
ERH,Wells Fargo Utilities and High Income Fund,$14.35,-0.18,-1.239%,133187516.00,,2004,6481,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$14.918,-0.032,-0.214%,40317879.00,United States,,519,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$40.00,0.00,0.00%,218260320.00,United States,,4737,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$27.52,-0.98,-3.439%,337344921.00,United States,,3211,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.14,0.00,0.00%,303431275.00,United States,2002,64555,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$13.42,0.01,0.075%,1558692982.00,United States,2003,431149,Finance,Finance/Investors Services
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$15.23,-0.04,-0.262%,82269840.00,United States,1999,24038,Finance,Finance/Investors Services
